who,voting-status,party,sir-state,shared?,content-bias,xcor,ycor
438,will-not-vote,None,susceptible,FALSE,neutral,6.547996471,10.11527644
165,will-vote,B,susceptible,FALSE,neutral,-8.760253324,8.411487215
348,will-vote,B,susceptible,FALSE,neutral,-6.856607519,-7.489410324
45,will-vote,A,infected,TRUE,partyA,-3.868100454,-12.75339372
185,will-vote,B,susceptible,FALSE,neutral,3.525765788,-7.456596009
52,will-vote,A,susceptible,FALSE,neutral,-7.286673725,5.803024513
98,will-vote,A,susceptible,FALSE,neutral,-0.463009999,5.454997003
156,will-vote,B,susceptible,FALSE,neutral,12.05430263,-8.339860591
373,will-vote,A,susceptible,FALSE,neutral,5.414078809,-5.781297068
321,will-not-vote,A,susceptible,FALSE,neutral,-11.4036373,14.96064567
235,will-vote,A,susceptible,FALSE,neutral,-2.497590313,-6.97712938
416,will-vote,B,susceptible,FALSE,neutral,11.05787652,10.32412895
135,will-not-vote,A,susceptible,FALSE,neutral,14.91086508,-1.833379614
95,will-vote,A,susceptible,FALSE,neutral,9.65156106,-15.56541439
106,will-not-vote,A,susceptible,FALSE,neutral,-2.214543898,-14.1563153
355,will-not-vote,B,susceptible,FALSE,neutral,-16.37853129,7.937812806
342,will-vote,A,susceptible,FALSE,neutral,11.9502207,-14.28736961
161,will-vote,A,susceptible,FALSE,neutral,-6.12408866,6.760307646
336,will-vote,A,susceptible,FALSE,neutral,-2.187913102,5.281377202
103,will-vote,B,susceptible,FALSE,neutral,-8.205444335,16.23121426
93,will-not-vote,None,susceptible,FALSE,neutral,10.48562162,4.341601535
463,will-vote,A,susceptible,FALSE,neutral,14.12648458,7.37728955
489,will-not-vote,A,susceptible,FALSE,neutral,-4.038459822,-6.349352515
37,will-vote,B,susceptible,FALSE,neutral,-11.19356748,2.07884352
112,will-vote,B,susceptible,FALSE,neutral,11.13253308,-1.106914426
384,will-not-vote,B,susceptible,FALSE,neutral,13.54831849,-3.422303344
230,will-not-vote,B,susceptible,FALSE,neutral,-10.04913181,-12.18616188
41,will-vote,A,infected,TRUE,partyA,-4.863173255,-0.874881377
123,will-vote,B,susceptible,FALSE,neutral,-13.18877395,-8.934827828
394,will-vote,A,susceptible,FALSE,neutral,3.013497337,11.40969392
319,will-vote,B,susceptible,FALSE,neutral,-12.32345619,-13.4231661
234,will-vote,B,susceptible,FALSE,neutral,11.71771272,-2.927526182
193,will-vote,B,infected,TRUE,partyB,-14.11913493,-5.531110004
277,will-vote,A,susceptible,FALSE,neutral,3.952549158,-9.716261478
14,will-vote,B,susceptible,FALSE,neutral,-4.319554566,0.122804931
154,will-not-vote,None,susceptible,FALSE,neutral,-4.884257066,9.102868284
453,will-vote,B,susceptible,FALSE,neutral,1.307157926,3.965878534
259,will-vote,B,susceptible,FALSE,neutral,16.28644856,15.53704549
398,will-vote,A,infected,TRUE,partyA,0.879855707,14.60210564
291,will-not-vote,B,susceptible,FALSE,neutral,-5.506159379,6.286296752
170,will-vote,B,susceptible,FALSE,neutral,-16.27536671,-1.973822102
437,will-vote,B,infected,TRUE,partyB,0.032153973,-10.50316225
178,will-vote,A,susceptible,FALSE,neutral,-2.578987866,-3.212672763
422,will-not-vote,None,susceptible,FALSE,neutral,-6.977036496,-15.82534962
334,will-vote,A,susceptible,FALSE,neutral,7.77707742,-3.754152442
271,will-vote,A,susceptible,FALSE,neutral,2.392923345,5.012709254
194,will-vote,B,infected,TRUE,partyB,-12.45119309,-5.958010817
311,will-vote,A,susceptible,FALSE,neutral,9.599207195,13.78057921
301,will-vote,B,susceptible,FALSE,neutral,-13.29534762,2.305189163
446,will-not-vote,A,susceptible,FALSE,neutral,-7.836904478,-7.997353904
418,will-vote,A,infected,TRUE,partyA,-2.923898025,-3.903272722
285,will-vote,A,susceptible,FALSE,neutral,10.78380554,-0.013852264
312,will-vote,B,susceptible,FALSE,neutral,12.647523,1.128854763
494,will-vote,A,susceptible,FALSE,neutral,14.68616028,16.46455525
245,will-vote,B,susceptible,FALSE,neutral,-7.235889322,3.356795606
75,will-not-vote,B,infected,TRUE,partyB,16.16138183,12.82251948
379,will-vote,A,susceptible,FALSE,neutral,3.001249779,-14.78539034
