id,breed,ideology,p_A,p_B,p_N,engagement,susceptibility,voting_intention,xcor,ycor
465,youths,None,0.40439055410024544,0.13945171288906585,0.4561577330106887,1,0.1,false,8.288972129414063,-6.620634301026966
253,youths,None,0.2029293074764505,0.1975607939787463,0.5995098985448033,10,0.1,true,-11.744076112405693,15.596028025755388
224,youths,None,0.2959471131935798,0,0.7040528868064201,0,0.1,false,-2.9255083393587356,7.905799931395055
495,youths,None,0.27546082737134103,0.18707509654360127,0.5374640760850578,1,0.16183507685571508,false,-15.81761698318382,12.587777301194286
214,youths,None,0.07894644277970546,0.096870009108259,0.8241835481120355,5,0.1,false,3.4308016326105744,-1.8927847215401101
30,youths,A,0.6989553372935864,0.10442567514362047,0.1966189875627931,1,0.1,false,13.676859839379333,7.536685411126022
56,youths,A,0.5571072601749101,0.4428927398250898,0,3,0.1,false,15.501117982403393,10.51515757410463
65,youths,A,0.6304671922968432,0.13096275794031428,0.23857004976284252,6,0.1,true,-5.314930869641499,-10.174443114467854
404,youths,None,0.1466478019989188,0.3398650300951011,0.51348716790598,5,0.1,true,9.036764241436597,-4.5645875164455845
223,youths,None,0,0,1,9,0.1,false,18.9832591296815,-14.092351088955517
551,nonyouths,B,0.4621129593762779,0.5363366465211786,0.0015503941025434508,7,0.1,true,15.397497197270347,0.9863258999754336
467,youths,None,0.20410451049559863,0,0.7958954895044015,4,0.1,false,16.185189985847586,-10.53864281658427
76,youths,A,0.6595640060109954,0,0.34043599398900454,8,0.1,true,-11.38522714376761,-18.32387291755719
101,youths,B,0.17072831672763425,0.4329038956908589,0.39636778758150687,5,0.1,true,-16.676209334421046,-3.310886977913146
434,youths,None,0,0,1,10,0.1,false,8.468841844635644,-12.822561565111972
59,youths,B,0.21643132005158658,0.4534574382317284,0.330111241716685,7,0.1,true,-18.735773084878232,12.404915873574573
498,youths,None,0,0,1,8,0.1,false,7.290285116262204,-6.623778924874026
429,youths,B,0,0.7662110016748686,0.23378899832513153,9,0.1,true,10.699508862087058,16.63286390859492
274,youths,B,0,1,0,10,0.24266224786244023,true,2.7846268884360335,-14.274669563007254
